# this is a simple AeroX polar3 csv test file,,,,,,
# this is synthetic data for a set of aerofoil data with varying angle of attack, Reynolds number and Mach number",,,,,,
# hence there are three x inputs and three y outputs,,,,,,
# notice how excel adds extra commas
# also some unusual edge cases with spaces and quotes
3,3,,,,,
angle of attack, Reynolds number,Mach number," drag coefficient",lift coefficient,pitching moment coefficient,
degrees,-,-,-,- ,-,
alpha, Re ,M,CD,  CL,CM
0,1.00E+06,0.10,0.02,0,-0.01,some information about this data point
2,1.00E+06,0.10,0.03,0.2,-0.02,
4,1.00E+06,0.10,0.03,0.3,-0.03, more information
5,1.00E+06,0.10,0.05,0.5,-0.04,
7,1.00E+06,0.10,0.09,0.6,-0.05, "using quotes for information"
10,1.00E+06,0.10,0.12,0.6,-0.06,
0,2.00E+06,0.10,0.01,0,-0.03,
2,2.00E+06,0.10,0.02,0.2,-0.04,
4,2.00E+06,0.10,0.02,0.3,-0.05,
5,2.00E+06,0.10,0.04,0.5,-0.06,
7,2.00E+06,0.10,0.08,0.6,-0.07,
10,2.00E+06,0.10,0.11,0.6,-0.08,
0,1.00E+06,0.20,0.01,0,-0.01,
2,1.00E+06,0.20,0.02,0.2,-0.02,
4,1.00E+06,0.20,0.02,0.3,-0.03,
5,1.00E+06,0.20,0.04,0.5,-0.04,
7,1.00E+06,0.20,0.08,0.6,-0.05,
10,1.00E+06,0.20,0.11,0.6,-0.06,
0,2.00E+06,0.20,0.01,0,-0.03,
2,2.00E+06,0.20,0.02,0.2,-0.04,
4,2.00E+06,0.20,0.02,0.3,-0.05,
5,2.00E+06,0.20,0.04,0.5,-0.06,
7,2.00E+06,0.20,0.08,0.6,-0.07,
10,2.00E+06,0.20,0.11,0.6,-0.08,
0,1.00E+06,0.40,0.01,0,-0.01,
2,1.00E+06,0.40,0.02,0.2,-0.02,
4,1.00E+06,0.40,0.02,0.3,-0.03,
5,1.00E+06,0.40,0.04,0.5,-0.04,
7,1.00E+06,0.40,0.08,0.4,-0.05,
10,1.00E+06,0.40,0.11,0.3,-0.06,
0,2.00E+06,0.40,0.01,0,-0.03,
2,2.00E+06,0.40,0.02,0.2,-0.04,
4,2.00E+06,0.40,0.02,0.3,-0.05,
5,2.00E+06,0.40,0.04,0.3,-0.06,
7,2.00E+06,0.40,0.08,0.2,-0.07,
10,2.00E+06,0.40,0.11,0.2,-0.08,
